CCSDS_OMM_VERS,COMMENT,CREATION_DATE,ORIGINATOR,OBJECT_NAME,OBJECT_ID,CENTER_NAME,REF_FRAME,TIME_SYSTEM,MEAN_ELEMENT_THEORY,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,RCS_SIZE,COUNTRY_CODE,LAUNCH_DATE,SITE,DECAY_DATE,FILE,GP_ID,TLE_LINE0,TLE_LINE1,TLE_LINE2
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-09-18T10:32:37","18 SPCS","METEOR M2-3","2023-091A","EARTH","TEME","UTC","SGP4","2026-09-18T08:04:15.411936","14.24052678","0.00028364","98.5990","314.3643","254.4716","105.6150","0","U","57166","999","16777","0.00000480509400","-0.00000032","0.0000000000000","7189.816","101.120","813.721","809.642","PAYLOAD","LARGE","CIS","2023-06-27","VOSTO","","5371524","348688488","0 METEOR M2-3","1 57166U 23091A   26261.33628949 -.00000032  00000-0  48051-5 0  9990","2 57166  98.5990 314.3643 0002836 254.4716 105.6150 14.24052678167774"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-09-18T10:32:37","18 SPCS","METEOR M2-4","2024-039A","EARTH","TEME","UTC","SGP4","2026-09-18T07:34:55.909632","14.22437658","0.00059171","98.7122","219.4871","260.1163","99.9347","0","U","59051","999","13250","0.00001921920300","-0.00000001","0.0000000000000","7195.258","101.235","821.380","812.865","PAYLOAD","LARGE","CIS","2024-02-29","VOSTO","","5371524","348689729","0 METEOR M2-4","1 59051U 24039A   26261.31592488 -.00000001  00000-0  19219-4 0  9993","2 59051  98.7122 219.4871 0005917 260.1163  99.9347 14.22437658132508"
