CCSDS_OMM_VERS,COMMENT,CREATION_DATE,ORIGINATOR,OBJECT_NAME,OBJECT_ID,CENTER_NAME,REF_FRAME,TIME_SYSTEM,MEAN_ELEMENT_THEORY,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,RCS_SIZE,COUNTRY_CODE,LAUNCH_DATE,SITE,DECAY_DATE,FILE,GP_ID,TLE_LINE0,TLE_LINE1,TLE_LINE2
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-09-08T10:24:26","18 SPCS","ORBCOMM FM 4","1998-007C","EARTH","TEME","UTC","SGP4","2026-09-07T19:34:22.283616","14.35853765","0.00409454","107.9604","339.4831","184.3360","175.7430","0","U","25159","999","48845","0.00022795525000","0.00000534","0.0000000000000","7150.368","100.289","801.510","742.955","PAYLOAD","MEDIUM","ORB","1998-02-10","AFWTR","","5359159","346549574","0 ORBCOMM FM 4","1 25159U 98007C   26250.81553569  .00000534  00000-0  22796-3 0  9994","2 25159 107.9604 339.4831 0040945 184.3360 175.7430 14.35853765488452"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-09-08T10:24:26","18 SPCS","METEOR M2-3","2023-091A","EARTH","TEME","UTC","SGP4","2026-09-08T06:55:54.359040","14.24052132","0.00028323","98.6007","304.5340","295.6405","64.4481","0","U","57166","999","16634","0.00001355879600","-0.00000012","0.0000000000000","7189.818","101.120","813.720","809.647","PAYLOAD","LARGE","CIS","2023-06-27","VOSTO","","5359159","346565487","0 METEOR M2-3","1 57166U 23091A   26251.28882360 -.00000012  00000-0  13559-4 0  9994","2 57166  98.6007 304.5340 0002832 295.6405  64.4481 14.24052132166343"
"3.0","GENERATED VIA SPACE-TRACK.ORG API","2026-09-08T10:24:26","18 SPCS","METEOR M2-4","2024-039A","EARTH","TEME","UTC","SGP4","2026-09-08T06:10:11.516736","14.22436868","0.00060251","98.7101","209.5434","294.5971","65.4579","0","U","59051","999","13107","0.00001609096300","-0.00000008","0.0000000000000","7195.260","101.235","821.460","812.790","PAYLOAD","LARGE","CIS","2024-02-29","VOSTO","","5359159","346567228","0 METEOR M2-4","1 59051U 24039A   26251.25707774 -.00000008  00000-0  16091-4 0  9993","2 59051  98.7101 209.5434 0006025 294.5971  65.4579 14.22436868131077"
